Short name,Base model,Unsl Model,Sleeved model,Game,Set/Extension,Status,Build,Horizontal,Risers,Cards/Riser slot,Cards/First Riser,Front capacity,Box Height / mm,Merged-slot,TokenHolder,3D printer,Notes,Unsleeved W/mm,Unsleeved D/mm,Sleeved W/mm,Sleeved D/mm
105 Card,S4.7.7,S4.7.7.20-Un,S4.7.7.32-Sl,Compile,Main and 1 extension,Pub 6.5,,3,4,7,,7,105,FALSE,,Standard,,222.9,37.7,228.9,51.7
126 Card,S5.7.7,S5.7.7.20-Un,S5.7.7.45-Sl,Compile,"Main 2, Aux 1 and 2",Pub 6.5,,3,5,7,,7,105,FALSE,,Standard,,222.9,42.9,228.9,59.7
210 Card,L5.7.7,L5.7.7.20-Un,L5.7.7.45-Sl,Compile,"10 sets, all sets",Pub 6.5,,5,5,7,,7,105,FALSE,,Large,,359,42.9,369,59.7
168 Card,S4.16.10,S4.16.10.32-Un,S4.16.10.32-Sl,Dominion,"Alchemy, Cornucopia, Guilds",Published,,3,4,10,,16,105,FALSE,full,Standard,,208,45,214,57.3
202 Card (Mat),M4.21.10,M4.21.10.32-Un,M4.21.10.45-Sl,Dominion,For split 400-decks with mats,Published,,4,4,10,,21,105,TRUE,full,Standard,,271,46.9,279,60.3
244 Card,M4.21.10,M4.21.10.32-Un,M4.21.10.45-Sl,Dominion,"Split Adventures, Nocturne, Plunder",Published,,4,4,10,,21,105,FALSE,full,Standard,,271,46.9,279,60.3
246 Card,S2.40.12/30,S2.40.12/30.32-Un,S2.40.12/30.45-Sl,Dominion,Bulky Base Cards,Published,,3,2,12,30,40,105,FALSE,none,Standard,,208,50,214,68.1
290 Card (Mat),M6.21.10/12,M6.21.10/12.0-Un,M6.21.10/12.0-Sl,Dominion,Speculation,Published,6.6,4,6,10,12,21,,TRUE,full,,,,,,
300 Card,S5.40.12,S5.40.12.45-Un,S5.40.12.62-Sl,Dominion,"Base, split in 2",Published,,3,5,12,,40,105,FALSE,full,Standard,,208,64.1,214,86.1
324 Card,M6.21.10,M6.21.10.45-Un,M6.21.10.62-Sl,Dominion,"Intrigue, Seaside, Prosperity, Hinterlands, Empires, Rising Sun",Published,,4,6,10,,21,105,FALSE,full,Standard,Standard size,271,59.3,279,77.1
333 Card,S9.21.10,S9.21.10.62-Un,S9.21.10.62-Sl,Dominion,Who knows? Small printers,Published,,3,9,10,,21,105,FALSE,full,Standard,,208,77.9,214,102.3
400 Card (Mat),M8.40.10,M8.40.10.62-Un,M8.40.10.62-Sl,Dominion,"Adventures, Renaissance, Menagerie, Allies",Published,,4,8,10,,40,105,TRUE,full,Mixed,Unsleeved fits small printers,271,78.9,279,105.3
472 Card,M2.60.18/40,M2.60.18/40.45-Un,M2.60.18/40.62-Sl,Dominion,6-player Base Cards Box,Published,,4,2,18,40,60,105,FALSE,full,Mixed,,271,63.7,279,89.7
560 Card,L6.40.12,L6.40.12.45-Un,L6.40.12.62-Sl,Dominion,Base game,Published,,5,6,12,,40,105,FALSE,full,Large,,334,71,344,95.7
650 Card,L8.50.10,L8.50.10.62-Un,L8.50.10.62-Sl,Dominion,"Dark Ages, Nocturne, Plunder",Published,,5,8,10,,50,105,FALSE,full,Large,,334,82.7,344,111.3
144 Card,M5.6.6,M5.6.6.20-Un,M5.6.6.32-Sl,Food Chain Magnate,Milestones,Pub 7.0,,4,5,6,,6,105,FALSE,,Standard,Base/Ketchup,271,39.8,279,47.7
180 Card,L3.18.6,L3.18.6.20-Un,L3.18.6.20-Sl,Food Chain Magnate,Occupations 2/2,Pub 7.0,,5,3,6,,18,105,FALSE,,Large,Base game,334,35,344,42.9
264 Card,M4.18.12,M4.18.12.32-Un,M4.18.12.45-Sl,Food Chain Magnate,Occupations 1/2,Pub 7.0,,4,4,12,,18,105,FALSE,,Standard,Base game,271,48.8,279,63.3
198 Card,S4.18.12,S4.18.12.32-Un,S4.18.12.45-Sl,Food Chain Magnate,Occupations 3,Pub 7.0,,3,4,12,,18,105,FALSE,,Standard,Occupations re-split; unsleeved W/D confirmed against the built lid,208,48.8,214,63.3
3 Ages 5 Expansions,S5.15.15,S5.15.15.45-Un,S5.15.15.62-Sl,Innovation,"Ultimate, 1/4",Drafting,6.6,3,5,15,,15,105,FALSE,,Standard,4 boxes,220,62.1,226,84.6
4 Ages 5 Expansions,M5.15.15,M5.15.15.45-Un,M5.15.15.62-Sl,Innovation,"Ultimate, 1/3rd",Drafting,6.6,4,5,15,,15,105,FALSE,,Mixed,3 boxes,287,62.1,295,84.6
Single Set,S3.15.10,S3.15.10.20-Un,S3.15.10.32-Sl,Innovation,Base set or one expansion,Drafting,,3,3,10,,15,105,FALSE,,Standard,10-card sliding slots (every other Innovation box is 15); W/D measured off the lid,220,39.3,226,50.6
Single Mini,XS5.15.10,XS5.15.10.32-Un,XS5.15.10.45-Sl,Innovation,Base set or one expansion,Drafting,Un:6.6,2,5,10,,15,105,FALSE,,Mini,"XS: 2 cards wide, where every other box is 3 or 4. Front label is the 62 (the 150.9 mm box front cannot take the 156.4); W/D measured off the lid.",152.9,52.1,156.9,68.35
