file,type,key,element,configuration,version,microversion,sha,exported_at
Box L5.7.7.20-Un.3mf,Box,Box|L5.7.7.20-Un|False,f27edbc7a0f89c28092f18d4,,7.0,,9912b3d282deaa7d,2026-08-31T23:24:10
Box L5.7.7.45-Sl.3mf,Box,Box|L5.7.7.45-Sl|False,f27edbc7a0f89c28092f18d4,,7.0,,cc442fe2531b2554,2026-08-31T23:24:10
Box S4.7.7.20-Un.3mf,Box,Box|S4.7.7.20-Un|False,f27edbc7a0f89c28092f18d4,,7.0,,bb00a9c72a2e3c06,2026-08-31T23:19:05
Box S4.7.7.32-Sl.3mf,Box,Box|S4.7.7.32-Sl|False,f27edbc7a0f89c28092f18d4,,6.6,,9deafa892bc3914a,2026-08-20T17:46:50
Box S5.7.7.20-Un.3mf,Box,Box|S5.7.7.20-Un|False,f27edbc7a0f89c28092f18d4,,7.0,,f0c92ff57295c1e3,2026-08-31T23:19:06
Box S5.7.7.45-Sl.3mf,Box,Box|S5.7.7.45-Sl|False,f27edbc7a0f89c28092f18d4,,7.0,,e1c244e7344a3733,2026-08-31T23:19:06
Holder 3x7-r4-Sl.3mf,Holder,Holder|span|3|7|4|Sl,f27edbc7a0f89c28092f18d4,,6.6,,2d8e7e5599aa9b54,2026-08-20T17:46:50
Holder 3x7-r4-Un.3mf,Holder,Holder|span|3|7|4|Un,f27edbc7a0f89c28092f18d4,,6.6,,30177dfa9206ee82,2026-08-31T23:19:05
Holder 3x7-r5-Sl.3mf,Holder,Holder|span|3|7|5|Sl,f27edbc7a0f89c28092f18d4,,6.6,,af20f3b9fa59901b,2026-08-31T23:19:06
Holder 3x7-r5-Un.3mf,Holder,Holder|span|3|7|5|Un,f27edbc7a0f89c28092f18d4,,6.6,,a1931244ab89831d,2026-08-31T23:19:06
Holder 5x7-r5-Sl.3mf,Holder,Holder|span|5|7|5|Sl,f27edbc7a0f89c28092f18d4,,6.6,,a9291a67a49b00e2,2026-08-20T17:46:50
Holder 5x7-r5-Un.3mf,Holder,Holder|span|5|7|5|Un,f27edbc7a0f89c28092f18d4,,6.6,,374010c6c5a50c2c,2026-08-20T17:46:50
Lid L5.7.7.20-Un.3mf,Lid,Lid|L5.7.7.20-Un,1f5cc8c63b87dcf62f713af0,,7.0,,74038b9ec4f78412,2026-08-31T23:24:10
Lid L5.7.7.45-Sl.3mf,Lid,Lid|L5.7.7.45-Sl,1f5cc8c63b87dcf62f713af0,,7.0,,d29b9befa2a12aa7,2026-08-31T23:24:10
Lid S4.7.7.20-Un.3mf,Lid,Lid|S4.7.7.20-Un,1f5cc8c63b87dcf62f713af0,,7.0,,6e222dd0902e7502,2026-08-31T23:19:05
Lid S4.7.7.32-Sl.3mf,Lid,Lid|S4.7.7.32-Sl,1f5cc8c63b87dcf62f713af0,,6.5,,00e641aaa5c50a76,2026-08-12T13:37:03
Lid S5.7.7.20-Un.3mf,Lid,Lid|S5.7.7.20-Un,1f5cc8c63b87dcf62f713af0,,7.0,,c887ed1c128a1936,2026-08-31T23:19:06
Lid S5.7.7.45-Sl.3mf,Lid,Lid|S5.7.7.45-Sl,1f5cc8c63b87dcf62f713af0,,7.0,,c73384251e927603,2026-08-31T23:19:06
Pusher 4x7-Sl.3mf,Pusher,Pusher|4|7|Sl,f27edbc7a0f89c28092f18d4,,6.6,,3e79309ee6598bb2,2026-08-20T17:46:50
Pusher 4x7-Un.3mf,Pusher,Pusher|4|7|Un,f27edbc7a0f89c28092f18d4,,7.0,,85615b7c473d5f7f,2026-08-31T23:19:05
Pusher 5x7-Sl.3mf,Pusher,Pusher|5|7|Sl,f27edbc7a0f89c28092f18d4,,7.0,,0b7435761d7204c8,2026-08-31T23:19:06
Pusher 5x7-Un.3mf,Pusher,Pusher|5|7|Un,f27edbc7a0f89c28092f18d4,,7.0,,64cad7a241cd1a75,2026-08-31T23:19:06
