file,type,key,element,configuration,version,microversion,sha,exported_at
Box L3.18.6.20-Sl.3mf,Box,Box|L3.18.6.20-Sl|False,f27edbc7a0f89c28092f18d4,,6.5,,46c8f9b61c8df173,2026-08-12T04:22:47
Box L3.18.6.20-Un.3mf,Box,Box|L3.18.6.20-Un|False,f27edbc7a0f89c28092f18d4,,6.5,,5a702ab26b403e15,2026-08-12T04:09:53
Box M4.18.12.32-Un.3mf,Box,Box|M4.18.12.32-Un|False,f27edbc7a0f89c28092f18d4,,6.5,,08414eb5df5c683a,2026-08-11T20:56:02
Box M4.18.12.45-Sl.3mf,Box,Box|M4.18.12.45-Sl|False,f27edbc7a0f89c28092f18d4,,6.5,,0e58cc332c59bbe4,2026-08-11T20:56:02
Box S4.18.12.45-Sl.3mf,Box,Box|S4.18.12.45-Sl|False,f27edbc7a0f89c28092f18d4,,6.5,,baa02048e2179e8c,2026-08-13T14:40:29
Holder L-18-Sl.3mf,Holder,Holder|L|18|Sl|False,f27edbc7a0f89c28092f18d4,,6.5,,10534412818b0472,2026-08-11T20:56:02
Holder L-18-Un.3mf,Holder,Holder|L|18|Un|False,f27edbc7a0f89c28092f18d4,,6.5,,1ad2be05cd6ffef3,2026-08-11T20:56:02
Holder M-18-Sl.3mf,Holder,Holder|M|18|Sl|False,f27edbc7a0f89c28092f18d4,,6.5,,63472074a01ea11c,2026-08-11T20:56:02
Holder M-18-Un.3mf,Holder,Holder|M|18|Un|False,f27edbc7a0f89c28092f18d4,,6.5,,a394167e4f975acb,2026-08-11T20:56:02
Holder S-18-Sl.3mf,Holder,Holder|S|18|Sl|False,f27edbc7a0f89c28092f18d4,,6.5,,469024ab4734d246,2026-08-13T14:40:29
Lid L3.18.6.20-Sl.3mf,Lid,Lid|L3.18.6.20-Sl,1f5cc8c63b87dcf62f713af0,,6.5,,53a3a16540897a38,2026-08-12T04:26:10
Lid L3.18.6.20-Un.3mf,Lid,Lid|L3.18.6.20-Un,1f5cc8c63b87dcf62f713af0,,6.5,,3939a565a6d5233c,2026-08-12T13:37:03
Lid M4.18.12.32-Un.3mf,Lid,Lid|M4.18.12.32-Un,1f5cc8c63b87dcf62f713af0,,6.5,,616c54a929c81673,2026-08-12T13:37:03
Lid M4.18.12.45-Sl.3mf,Lid,Lid|M4.18.12.45-Sl,1f5cc8c63b87dcf62f713af0,,6.5,,79021806f29ed9f3,2026-08-12T13:37:03
Lid S4.18.12.45-Sl.3mf,Lid,Lid|S4.18.12.45-Sl,1f5cc8c63b87dcf62f713af0,,6.5,,e8f08d9022b6df34,2026-08-13T14:40:29
Pusher 3x6-Sl.3mf,Pusher,Pusher|3|6|Sl,f27edbc7a0f89c28092f18d4,,6.3,,1abd99b2ef4fb8f5,2026-08-08T12:20:26
Pusher 3x6-Un.3mf,Pusher,Pusher|3|6|Un,f27edbc7a0f89c28092f18d4,,6.3,,ad75ac579172ec3b,2026-08-08T12:20:26
Pusher 4x12-Sl.3mf,Pusher,Pusher|4|12|Sl,f27edbc7a0f89c28092f18d4,,6.3,,d46588fcd4e274f1,2026-08-08T12:20:26
Pusher 4x12-Un.3mf,Pusher,Pusher|4|12|Un,f27edbc7a0f89c28092f18d4,,6.3,,450be8c6f393d9e1,2026-08-08T12:20:26
